month,year,mean,ERA5,PERSIANN,Rainfall
10,2010,152.4817189,178.0678332,156.6959486,332
11,2010,6.164034963,13.8117075,16.0248208,0
12,2010,9.977765441,15.56352898,25.93657732,13
1,2011,2.895104825,0.181987882,8.993873119,0
2,2011,4.975950539,0.928978436,0,1
3,2011,50.19043398,50.24640262,70.71239066,16
4,2011,68.88661957,81.9369927,66.09707808,28
5,2011,253.405407,239.3489778,208.8791088,145
6,2011,419.740221,414.9928689,537.6489744,381
7,2011,252.6735578,329.821527,267.2229841,387
8,2011,502.8186054,561.0460043,523.0132599,614
9,2011,188.7077062,258.8218749,275.0675198,367
10,2011,46.05137038,57.65092745,42.81747711,3
11,2011,3.08319217,3.572599031,0,6
12,2011,1.958334193,1.364696771,2.427479431,0
1,2012,13.74756151,30.1234331,47.49410272,66
2,2012,10.94681829,2.158978954,7.476303101,18
3,2012,12.47488308,11.3563519,6.018466711,1
4,2012,124.0434074,203.8139701,191.920222,52
5,2012,95.8456583,72.62711972,89.7217758,63
6,2012,212.4616637,175.0482917,255.5113877,255
7,2012,269.5781374,237.0160073,270.6800094,391
8,2012,272.8941441,294.55477,292.3609816,254
9,2012,253.7587495,281.4625502,258.0130736,374
10,2012,98.28046352,109.6207798,192.1919314,89
11,2012,39.93465495,61.4384748,43.6989913,80
12,2012,2.503778517,39.02573138,3.660945058,2
1,2013,4.414903253,3.726562485,3.526977658,1
2,2013,8.687942088,6.998289376,11.28767216,7
3,2013,30.30493379,6.598592736,19.92116678,19
4,2013,50.18981361,76.51275396,90.92513424,62
5,2013,415.7291126,356.8667173,523.8823091,430
6,2013,273.6938746,266.9088542,322.9490262,212
7,2013,287.7540121,215.6814933,254.0663309,313
8,2013,369.7324238,333.9333534,364.0694294,482
9,2013,221.9179435,250.5459785,249.7598138,278
10,2013,199.7684922,197.2695589,341.0085657,260
11,2013,3.378894329,0.141913071,0.747141078,0
12,2013,3.623142898,0.960904174,0.958316451,0
1,2014,3.416467547,1.359400339,0,0
2,2014,10.63056886,49.8424992,9.633825302,24
3,2014,31.33396173,22.53989317,13.81780082,5
4,2014,18.57937193,27.73351781,9.614844441,0
5,2014,200.1246936,134.9778771,230.2887986,118
6,2014,362.5344611,298.1106639,495.736129,447
7,2014,334.7732029,244.1795468,283.5797006,394
8,2014,262.3243008,376.6174614,346.2449955,258
9,2014,156.854375,166.4072573,224.8419819,205
10,2014,38.20844078,80.39943129,67.1280039,10
11,2014,3.449090183,1.665523276,0.146426275,0
12,2014,2.694714755,9.406639263,1.759044677,0
1,2015,4.817833275,10.8807506,13.48595428,41
2,2015,30.95305294,42.3812829,15.07316005,35
3,2015,44.94983196,26.4420528,18.20654652,28
4,2015,120.731709,237.7613187,136.9210179,107
